Nomenclature,Noun,Software_Noun,Description,Dimensional_Analysis,English_System,International_System,Parameter_Type,Check,Classification
$R$,Universal gas constant,,,$(M / Lt^{2}) * Lt^{3} / M mole * T$,$Psia * ft^{3} / lbmol * R$,$kPa * m^{3} / kg mol * K$,Mathematical,Physical,Prop. Fluid
$u(r)$,Velocity in r-direction,,,$L / t$,$ft / D$,$m / D$,Physical,,Prop. Fluid
$\mu^{*}_m$,Viscosity of component m at low pressure,,,$M / Lt$,$cp$,$(Pa * s)$,Physical,,Prop. Fluid
$\mu^{*}$,Viscosity of fluid at low pressure,,,$M / Lt$,$cp$,$(Pa * s)$,Physical,,Prop. Fluid
$\mu_{ig}$,Viscosity of ith component in gas,,,$M / Lt$,$cp$,$(Pa * s)$,Physical,,Prop. Fluid
$\mu_{io}$,Viscosity of ith component in oil,,,$M / Lt$,$cp$,$(Pa * s)$,Physical,,Prop. Fluid
$\mu_{\alpha}$,Viscosity of phase α,,,$M / Lt$,$cp$,$(Pa * s)$,Physical,,Prop. Fluid
$\mu_w$,Viscosity of water,,,$M / Lt$,$cp$,$(Pa * s)$,Physical,,Prop. Fluid
$V$,Volume ,,,$L^{3}$,$ft^{3}$,$m^{3}$,Physical,,Prop. Fluid
$V_s$,Volume at std,,,$L^{3}$,$std ft^{3}$,$std m^{3}$,Physical,,Prop. Fluid
"$V_{i,j,k}$","Volume of block (i, j, k)",,,$L^{3}$,$ft^{3}$,$m^{3}$,Physical,,Prop. Fluid
$V_{Gs}$,Volume of gas component at std,,,$L^{3}$,$SCF$,$std m^{3}$,Physical,,Prop. Fluid
$V_g$,Volume of gas phase,,,$L^{3}$,$ft^{3}$,$m^{3}$,Physical,,Prop. Fluid
$V_{Os}$,Volume of oil component at std,,,$L^{3}$,$STB$,$std m^{3}$,Physical,,Prop. Fluid
$V_o$,Volume of oil phase,,,$L^{3}$,$ft^{3}$,$m^{3}$,Physical,,Prop. Fluid
$t_B$,Water breakthrough time,,,$t$,$D$,$D$,Physical,,Prop. Fluid
$c_w$,Water compressibility,,,$Lt^{2}/M$,$psi^{-1}$,$kPa^{-1}$,Physical,,Prop. Fluid
$V_w$,Water volume,,,$L^{3}$,$ft^{3}$,$m^{3}$,Physical,,Prop. Fluid
$\bar{\gamma}$,Weighted fluid gravity,,,$L / t$,$ft / D$,$m / D$,Physical,,Prop. Fluid
