Nomenclatura,Parametro,Parametro_Software,Descripcion,Analisis_Dimensional,Sistema_Ingles,Sistema_Internacional,Tipo_de_Parametro,Revisar,Clasificacion
$\nabla\cdotp$,Operador de divergencia,,,$L^{-1}$,$ft^{-1}$,$m^{-1}$,Matemático,,
$\nabla$,Operador de gradiente,,,$L^{-1}$,$ft^{-1}$,$m^{-1}$,Matemático,,
$\mathcal{L}$,Operador diferencial,,,$adimensional$,$adimensional$,$adimensional$,Matemático,,
$\Delta$,Operador Laplaciano,,,$L^{-2}$,$ft^{-2}$,$m^{-2}$,Matemático,,
$\epsilon$,Parámetro reducido,,,$adimensional$,$adimensional$,$adimensional$,Físico,,
$\mathtt g_{u}$,Parámetros de frontera,,,$adimensional$,$adimensional$,$adimensional$,Matemático,,
$\mathtt g_{p}$,Parámetros de frontera,,,$adimensional$,$adimensional$,$adimensional$,Matemático,,
$K_h$,Partición de dominio,,,$adimensional$,$adimensional$,$adimensional$,Matemático,,
$q_L$,Pérdida de calor,,,$M / Lt^{3}$,$Btu / (ft^{3} D)$,$J / (m^{3} D)$,Físico,,
$\Phi$,Potencial,,,$M / (Lt^{2})$,$lbm / (ft D^{2})$,$kg / (m D^{2})$,Físico,,
$\mu_i$,Potencial químico del componente i,,,$ML^{2} / t^{2}$,$lbm * ft^{2} / D^{2}$,$kg * m^{2} / D^{2}$,Físico,,
"$R^{l}_{i,j,k}$",Residuo de la iteración de Newton-Raphson,,,$adimensional$,$adimensional$,$adimensional$,Físico,,
$A$,Sección transversal del area normal de flujo,,,$L^{2}$,$ft^{2}$,$m^{2}$,Físico,,
$A_i$,Sección transversal normal en dirección xi,,,$L^{2}$,$ft^{2}$,$m^{2}$,Físico,,
$\dfrac{\partial^{2}}{\partial x^{2}_i}$,Segunda derivada espacial,,,$L^{-2}$,$ft^{-2}$,$m^{-2}$,Matemático,,
$\delta_{jk}$,Símbolo de Kronecker,,,$adimensional$,$adimensional$,$adimensional$,Matemático,,
$J^{n}$,Subintervalo en el tiempo,,,$t$,$D$,$D$,Físico,,
$h$,Tamaño de paso de la malla,,,$L$,$ft$,$m$,Físico,,
$h_i$,Tamaño de paso de la malla en dirección xi,,,$L$,$ft$,$m$,Físico,,
$T_{cm}$,Temperatura crítica del componente m,,,$T$,$R$,$K$,Físico,,
$T$,Temperatura,,,$T$,$R$,$K$,Físico,,
$T_{ub}$,Temperatura de la carga,,,$T$,$R$,$K$,Físico,,
$T_{ob}$,Temperatura de sobrecarga,,,$T$,$R$,$K$,Físico,,
$T_{rm}$,Temperatura reducida del componente i,,,$adimensional$,$adimensional$,$adimensional$,Físico,,
$\mathbf I$,Tensor de identidad,,,$adimensional$,$adimensional$,$adimensional$,Físico,,
$t$,Tiempo,,,$t$,$D$,$D$,Físico,,
$t_0$,Tiempo inicial,,,$t$,$D$,$D$,Físico,,
$v$,Unidad exterior normal,,,$adimensional$,$adimensional$,$adimensional$,Matemático,,
$k_{rc}$,Valor de k row en S wc : k row (S wc ),,,$adimensional$,$adimensional$,$adimensional$,Físico,,
$F$,Variable de masa total,,,$M / L^{3}$,$lbm / ft^{3}$,$kg / m^{3}$,Matemático,Físico,
$\mathbf {x}^{\star}$,Variable espacial,,,$L$,$ft$,$m$,Matemático,,
$\mathbf {x}^{\star\star}$,Variable espacial,,,$L$,$ft$,$m$,Matemático,,
$\mathbf x$,"Variable espacial (x1,x2,x3)",,,$L$,$ft$,$m$,Matemático,,
$G^{n}_i$,Vector lateral derecho,,,$adimensional$,$adimensional$,$adimensional$,Matemático,,
$\mathbf x$,Vector molar,,,$mole$,$mole$,$mole$,Matemático,,
